year,race_num,track,track_type,fin,start,car_num,driver,manu,team_name,laps,laps_led,status,points,stage_1,stage_2,stage_3_or_duel,stage_points
2017,-1,Daytona,superspeedway,1,1,24,Chase Elliott,Chevrolet,Hendrick Motorsports,60,25,running,,,,1,10
2017,-1,Daytona,superspeedway,2,12,1,Jamie McMurray,Chevrolet,Chip Ganassi Racing,60,0,running,,,,2,9
2017,-1,Daytona,superspeedway,3,4,4,Kevin Harvick,Ford,Stewart-Haas Racing,60,0,running,,,,3,8
2017,-1,Daytona,superspeedway,4,2,2,Brad Keselowski,Ford,Team Penske,60,28,running,,,,4,7
2017,-1,Daytona,superspeedway,5,5,20,Matt Kenseth,Toyota,Joe Gibbs Racing,60,0,running,,,,5,6
2017,-1,Daytona,superspeedway,6,10,6,Trevor Bayne,Ford,Roush Fenway Racing,60,0,running,,,,6,5
2017,-1,Daytona,superspeedway,7,13,43,Aric Almirola,Ford,Richard Petty Motorsports,60,0,running,,,,7,4
2017,-1,Daytona,superspeedway,8,9,22,Joey Logano,Ford,Team Penske,60,0,running,,,,8,3
2017,-1,Daytona,superspeedway,9,18,72,Cole Whitt,Ford,TriStar Motorsports,60,0,running,,,,9,2
2017,-1,Daytona,superspeedway,10,8,19,Daniel Suarez,Toyota,Joe Gibbs Racing,60,0,running,,,,10,1
2017,-1,Daytona,superspeedway,11,6,18,Kyle Busch,Toyota,Joe Gibbs Racing,60,7,running,,,,,0
2017,-1,Daytona,superspeedway,12,7,17,"Ricky Stenhouse, Jr.",Ford,Roush Fenway Racing,60,0,running,,,,,0
2017,-1,Daytona,superspeedway,13,15,32,Matt DiBenedetto,Ford,Go Fas Racing,60,0,running,,,,,0
2017,-1,Daytona,superspeedway,14,14,34,Landon Cassill,Ford,Front Row Motorsports,60,0,running,,,,,0
2017,-1,Daytona,superspeedway,15,20,23,Joey Gase,Toyota,BK Racing,60,0,running,,,,,0
2017,-1,Daytona,superspeedway,16,21,83,Corey LaJoie,Toyota,BK Racing,60,0,running,,,,,0
2017,-1,Daytona,superspeedway,17,17,75,Brendan Gaughan,Chevrolet,Beard Motorsports,60,0,running,,,,,0
2017,-1,Daytona,superspeedway,18,11,27,Paul Menard,Chevrolet,Richard Childress Racing,59,0,running,,,,,0
2017,-1,Daytona,superspeedway,19,19,55,Reed Sorenson,Toyota,Premium Motorsports,48,0,accident,,,,,0
2017,-1,Daytona,superspeedway,20,3,78,"Martin Truex, Jr.",Toyota,Furniture Row Racing,60,0,running/DQ,,,,,0
2017,-1,Daytona,superspeedway,21,16,37,Chris Buescher,Chevrolet,JTG Daugherty Racing,60,0,running/DQ,,,,,0
2017,-2,Daytona,superspeedway,1,3,11,Denny Hamlin,Toyota,Joe Gibbs Racing,60,4,running,,,,1,10
2017,-2,Daytona,superspeedway,2,2,14,Clint Bowyer,Ford,Stewart-Haas Racing,60,0,running,,,,2,9
2017,-2,Daytona,superspeedway,3,11,41,Kurt Busch,Ford,Stewart-Haas Racing,60,0,running,,,,3,8
2017,-2,Daytona,superspeedway,4,13,3,Austin Dillon,Chevrolet,Richard Childress Racing,60,0,running,,,,4,7
2017,-2,Daytona,superspeedway,5,1,88,"Dale Earnhardt, Jr.",Chevrolet,Hendrick Motorsports,60,53,running,,,,5,6
2017,-2,Daytona,superspeedway,6,12,10,Danica Patrick,Ford,Stewart-Haas Racing,60,0,running,,,,6,5
2017,-2,Daytona,superspeedway,7,5,31,Ryan Newman,Chevrolet,Richard Childress Racing,60,0,running,,,,7,4
2017,-2,Daytona,superspeedway,8,8,42,Kyle Larson,Chevrolet,Chip Ganassi Racing,60,0,running,,,,8,3
2017,-2,Daytona,superspeedway,9,6,13,Ty Dillon,Chevrolet,Germain Racing,60,0,running,,,,9,2
2017,-2,Daytona,superspeedway,10,16,38,David Ragan,Ford,Front Row Motorsports,60,0,running,,,,10,1
2017,-2,Daytona,superspeedway,11,15,95,Michael McDowell,Chevrolet,Leavine Family Racing,60,0,running,,,,,0
2017,-2,Daytona,superspeedway,12,7,48,Jimmie Johnson,Chevrolet,Hendrick Motorsports,60,0,running,,,,,0
2017,-2,Daytona,superspeedway,13,4,5,Kasey Kahne,Chevrolet,Hendrick Motorsports,60,0,running,,,,,0
2017,-2,Daytona,superspeedway,14,19,96,D.J. Kennington,Toyota,Gaunt Brothers Racing,60,0,running,,,,,0
2017,-2,Daytona,superspeedway,15,18,7,Elliott Sadler,Chevrolet,Tommy Baldwin Racing,60,0,running,,,,,0
2017,-2,Daytona,superspeedway,16,17,15,Michael Waltrip,Toyota,Premium Motorsports,60,0,running,,,,,0
2017,-2,Daytona,superspeedway,17,20,33,Jeffrey Earnhardt,Chevrolet,Circle Sport - The Motorsports Group,60,0,running,,,,,0
2017,-2,Daytona,superspeedway,18,10,77,Erik Jones,Toyota,Furniture Row Racing,59,0,running,,,,,0
2017,-2,Daytona,superspeedway,19,9,21,Ryan Blaney,Ford,Wood Brothers Racing,55,3,accident,,,,,0
2017,-2,Daytona,superspeedway,20,21,51,Timmy Hill,Chevrolet,Rick Ware Racing,29,0,engine,,,,,0
2017,-2,Daytona,superspeedway,21,14,47,A.J. Allmendinger,Chevrolet,JTG Daugherty Racing,60,0,running/DQ,,,,,0
2017,1,Daytona,superspeedway,1,8,41,Kurt Busch,Ford,Stewart-Haas Racing,200,1,running,48,22,3,,8
2017,1,Daytona,superspeedway,2,36,21,Ryan Blaney,Ford,Wood Brothers Racing,200,2,running,44,3,10,,9
2017,1,Daytona,superspeedway,3,38,47,A.J. Allmendinger,Chevrolet,JTG Daugherty Racing,200,2,running,39,17,6,,5
2017,1,Daytona,superspeedway,4,13,43,Aric Almirola,Ford,Richard Petty Motorsports,200,2,running,33,18,18,,0
2017,1,Daytona,superspeedway,5,33,27,Paul Menard,Chevrolet,Richard Childress Racing,200,0,running,32,26,23,,0
2017,1,Daytona,superspeedway,6,15,22,Joey Logano,Ford,Team Penske,200,16,running,40,12,2,,9
2017,1,Daytona,superspeedway,7,26,5,Kasey Kahne,Chevrolet,Hendrick Motorsports,200,7,running,30,31,14,,0
2017,1,Daytona,superspeedway,8,30,15,Michael Waltrip,Toyota,Premium Motorsports,200,0,running,29,24,30,,0
2017,1,Daytona,superspeedway,9,25,32,Matt DiBenedetto,Ford,Go Fas Racing,200,0,running,28,23,20,,0
2017,1,Daytona,superspeedway,10,11,6,Trevor Bayne,Ford,Roush Fenway Racing,200,0,running,27,28,16,,0
2017,1,Daytona,superspeedway,11,39,75,Brendan Gaughan,Chevrolet,Beard Motorsports,200,0,running,0,21,24,,0
2017,1,Daytona,superspeedway,12,16,42,Kyle Larson,Chevrolet,Chip Ganassi Racing,200,16,running,33,6,8,,8
2017,1,Daytona,superspeedway,13,35,78,"Martin Truex, Jr.",Toyota,Furniture Row Racing,200,2,running,24,35,31,,0
2017,1,Daytona,superspeedway,14,1,24,Chase Elliott,Chevrolet,Hendrick Motorsports,200,39,running,23,15,13,,0
2017,1,Daytona,superspeedway,15,22,95,Michael McDowell,Chevrolet,Leavine Family Racing,200,0,running,22,11,19,,0
2017,1,Daytona,superspeedway,16,27,34,Landon Cassill,Ford,Front Row Motorsports,199,0,running,21,29,15,,0
2017,1,Daytona,superspeedway,17,4,11,Denny Hamlin,Toyota,Joe Gibbs Racing,199,0,running,23,8,28,,3
2017,1,Daytona,superspeedway,18,17,72,Cole Whitt,Ford,TriStar Motorsports,199,3,running,19,30,27,,0
2017,1,Daytona,superspeedway,19,10,3,Austin Dillon,Chevrolet,Richard Childress Racing,199,7,running,18,19,21,,0
2017,1,Daytona,superspeedway,20,40,7,Elliott Sadler,Chevrolet,Tommy Baldwin Racing,199,5,running,0,20,26,,0
2017,1,Daytona,superspeedway,21,14,31,Ryan Newman,Chevrolet,Richard Childress Racing,198,0,running,18,13,9,,2
2017,1,Daytona,superspeedway,22,5,4,Kevin Harvick,Ford,Stewart-Haas Racing,197,50,running,34,2,1,,19
2017,1,Daytona,superspeedway,23,29,23,Joey Gase,Toyota,BK Racing,196,0,running,0,27,17,,0
2017,1,Daytona,superspeedway,24,31,83,Corey LaJoie,Toyota,BK Racing,193,0,running,13,38,35,,0
