driver,total_races,avg_finish,median_finish,std_finish,avg_start,wins,top5,top10,avg_laps_led,dnf_count,avg_points,avg_stage_points,win_rate,top5_rate,top10_rate,dnf_rate,pca1,pca2,cluster,cluster_name
A.J. Allmendinger,151,19.90728476821192,20.0,9.901751355780437,21.251655629139073,2,11,34,1.1059602649006623,0,12.65986394557823,0.7417218543046358,0.013245033112582781,0.0728476821192053,0.2251655629139073,0.0,-0.14398108423057426,0.7707027582335643,2,Aggressive or Risky
Alex Bowman,251,15.585657370517929,14.0,9.910985494194584,13.103585657370518,8,41,94,4.792828685258964,0,25.561475409836067,3.8473895582329316,0.03187250996015936,0.16334661354581673,0.3745019920318725,0.0,2.291002163312392,0.6253527468975913,1,Consistent Mid-Pack
Anthony Alfredo,43,26.86046511627907,26.0,7.491523449074952,28.72093023255814,0,0,2,0.20930232558139536,0,8.609756097560975,0.023809523809523808,0.0,0.0,0.046511627906976744,0.0,-2.2059633081194474,-0.12632135206583486,3,Part-Time / Developing Drivers
Aric Almirola,252,16.49206349206349,16.0,9.287138029383929,15.86111111111111,4,26,75,4.134920634920635,0,22.69795918367347,2.476,0.015873015873015872,0.10317460317460317,0.2976190476190476,0.0,1.181083492757481,0.7910980909168555,1,Consistent Mid-Pack
Austin Cindric,119,19.008403361344538,19.0,9.967315908116491,15.647058823529411,2,13,25,3.2436974789915967,0,18.982608695652175,2.3781512605042017,0.01680672268907563,0.1092436974789916,0.21008403361344538,0.0,0.8312492029989785,0.7907237072012098,1,Consistent Mid-Pack
Austin Dillon,295,18.138983050847457,16.0,9.572015208553161,17.71864406779661,6,19,63,1.1898305084745762,0,20.470383275261323,1.8225255972696246,0.020338983050847456,0.06440677966101695,0.2135593220338983,0.0,0.5288915500356368,0.8991427358754752,1,Consistent Mid-Pack
B.J. McLeod,149,30.28187919463087,31.0,6.013588820232137,33.946308724832214,0,0,2,0.11409395973154363,0,1.6503496503496504,0.0,0.0,0.0,0.013422818791946308,0.0,-3.156617786248555,-1.0381332506825054,3,Part-Time / Developing Drivers
Brad Keselowski,296,13.716216216216216,11.0,10.517807685815702,12.452702702702704,16,84,142,16.08783783783784,0,29.4375,5.989795918367347,0.05405405405405406,0.28378378378378377,0.4797297297297297,0.0,4.278146829336199,-0.486823613778891,0,Elite Contenders
Brendan Gaughan,21,18.333333333333332,17.0,9.040648944259107,29.666666666666668,0,0,4,0.9523809523809523,0,4.764705882352941,0.0,0.0,0.0,0.19047619047619047,0.0,-1.3864656916055909,0.5822608503177074,2,Aggressive or Risky
Brennan Poole,43,29.74418604651163,30.0,6.168634267523674,31.093023255813954,0,0,1,0.09302325581395349,0,6.404761904761905,0.0,0.0,0.0,0.023255813953488372,0.0,-2.79427681014682,-0.7548342925474258,3,Part-Time / Developing Drivers
Bubba Wallace,262,19.408396946564885,20.0,9.714172118565187,19.389312977099237,2,25,52,2.648854961832061,0,18.67450980392157,1.9346153846153846,0.007633587786259542,0.09541984732824428,0.1984732824427481,0.0,0.34276385047908153,0.7925231587247837,1,Consistent Mid-Pack
Carson Hocevar,46,19.217391304347824,17.0,8.73031256530502,20.782608695652176,0,2,7,0.34782608695652173,0,15.644444444444444,0.7391304347826086,0.0,0.043478260869565216,0.15217391304347827,0.0,-0.5752705196490501,0.9133775694376498,2,Aggressive or Risky
